奔驰E级(进口);空间;空间大;1;所以空间妥妥的好用，而且作为轿跑，驾驶位头部空间居然听够用？
奔驰E级(进口);动力;动力肉;0;同级别车里，性价比不高，动力也不行，但是内饰外观太加分了。
奔驰E级(进口);动力;动力肉;0;不满意应该是动力了，我上车就S档，舒适模式不狠踩，真的跑不起来，还有就是内饰异响，包括方向盘金属饰板异响，后视镜口哨声，可能运气不好被我赶上了，好在4S答应给换原厂件。
奔驰E级(进口);动力;动力肉;0;颜值好看，内饰无敌，1.5T动力弱但是太顺了，毫无换挡感觉，上下班市区通行太舒服了，相信买这车的都是看脸去的，家里行政轿车，SUV都有，所以两门也不用考虑乘坐空间，平时都是一个人开。
奔驰E级(进口);动力;换挡不平顺;0;颜值好看，内饰无敌，1.5T动力弱但是太顺了，毫无换挡感觉，上下班市区通行太舒服了，相信买这车的都是看脸去的，家里行政轿车，SUV都有，所以两门也不用考虑乘坐空间，平时都是一个人开。
奔驰E级(进口);操控;转向没有虚位;1;S档方向盘定位挺准的，不过和宝马一天一地。
奔驰E级(进口);操控;转向没有虚位;1;刹车比较重，指向要开运动模式才会没有虚位，总的来说，对得起轿跑定位了。
奔驰E级(进口);操控;转向系统异响;0;不满意应该是动力了，我上车就S档，舒适模式不狠踩，真的跑不起来，还有就是内饰异响，包括方向盘金属饰板异响，后视镜口哨声，可能运气不好被我赶上了，好在4S答应给换原厂件。
奔驰E级(进口);操控;刹车踏板轻重不合适;0;刹车比较重，指向要开运动模式才会没有虚位，总的来说，对得起轿跑定位了。
奔驰E级(进口);油耗;油耗低;1;市区10，高速6，不乱踩，油耗很低很低。
奔驰E级(进口);舒适性;前排有腿部支撑;1;有腿托是真的舒服，座椅不是真皮，但是算半个运动座椅吧，包裹性不错。
奔驰E级(进口);舒适性;座椅舒适;1;有腿托是真的舒服，座椅不是真皮，但是算半个运动座椅吧，包裹性不错。
奔驰E级(进口);外观;外观设计漂亮;1;颜值好看，内饰无敌，1.5T动力弱但是太顺了，毫无换挡感觉，上下班市区通行太舒服了，相信买这车的都是看脸去的，家里行政轿车，SUV都有，所以两门也不用考虑乘坐空间，平时都是一个人开。
奔驰E级(进口);外观;外观设计漂亮;1;帅，真的帅，外观真无敌，内饰也无敌，无B柱设计太赞了，颜值控首选。
奔驰E级(进口);外观;车身霸气;1;帅，真的帅，外观真无敌，内饰也无敌，无B柱设计太赞了，颜值控首选。
奔驰E级(进口);内饰;内饰给力;1;内饰无敌啊，出风口，氛围灯，晚上就是夜店。
奔驰E级(进口);内饰;内饰给力;1;颜值好看，内饰无敌，1.5T动力弱但是太顺了，毫无换挡感觉，上下班市区通行太舒服了，相信买这车的都是看脸去的，家里行政轿车，SUV都有，所以两门也不用考虑乘坐空间，平时都是一个人开。
奔驰E级(进口);内饰;内饰给力;1;帅，真的帅，外观真无敌，内饰也无敌，无B柱设计太赞了，颜值控首选。
奔驰E级(进口);内饰;车内异响;0;不满意应该是动力了，我上车就S档，舒适模式不狠踩，真的跑不起来，还有就是内饰异响，包括方向盘金属饰板异响，后视镜口哨声，可能运气不好被我赶上了，好在4S答应给换原厂件。
奔驰E级(进口);内饰;饰板异响;0;不满意应该是动力了，我上车就S档，舒适模式不狠踩，真的跑不起来，还有就是内饰异响，包括方向盘金属饰板异响，后视镜口哨声，可能运气不好被我赶上了，好在4S答应给换原厂件。
奔驰E级(进口);内饰;没有氛围灯;0;啊，真香呢，不过后排是没有氛围灯的哦，反正也不坐人。
奔驰E级(进口);内饰;座椅材质不好;0;有腿托是真的舒服，座椅不是真皮，但是算半个运动座椅吧，包裹性不错。
奔驰E级(进口);性价比;性价比低;0;同级别车里，性价比不高，动力也不行，但是内饰外观太加分了。
