奔驰GLE新能源;空间;空间大;1;乘坐空间不错，后期比X5好，但是座椅不算软，后排角度调整小。
奔驰GLE新能源;动力;动力强劲;1;3：动力方面纯电模式相当给力，充电一般用奔驰的充电桩3个小时左右充满，没有用过外面的快充，过年出去旅游，没有充电桩，我就用插线板充电也可以，但是一晚上冲了70％。
奔驰GLE新能源;动力;加速慢;0;但是明显感觉没有电的加速快，发动机的声音也大。
奔驰GLE新能源;操控;主动刹车不错;1;3：主动刹车系统太灵敏，有时候在马路上掉头，马上识别后面有车，很远的距离就报警，然后主动刹车，刹车很猛，我有几次都以为被追尾了，很不习惯。
奔驰GLE新能源;操控;操控不错;1;操控很好。
奔驰GLE新能源;能耗;油耗低;1;绝对的省油，每一两天充电很方便，充电很快。
奔驰GLE新能源;能耗;充电方便;1;绝对的省油，每一两天充电很方便，充电很快。
奔驰GLE新能源;能耗;充电速度快;1;绝对的省油，每一两天充电很方便，充电很快。
奔驰GLE新能源;能耗;不支持快充;0;3：动力方面纯电模式相当给力，充电一般用奔驰的充电桩3个小时左右充满，没有用过外面的快充，过年出去旅游，没有充电桩，我就用插线板充电也可以，但是一晚上冲了70％。
奔驰GLE新能源;舒适性;后排有出风口;1;2：八十多的车，没想到后排是出风口，没有空调有点小气。
奔驰GLE新能源;舒适性;发动机噪音大;0;但是明显感觉没有电的加速快，发动机的声音也大。
奔驰GLE新能源;舒适性;舒适性不好;0;1：舒适性绝对没有轿车坐的舒服，后排虽然可以电动调节，但是能往后靠的角度还是不大。
奔驰GLE新能源;舒适性;座椅不舒适;0;乘坐空间不错，后期比X5好，但是座椅不算软，后排角度调整小。
奔驰GLE新能源;外观;车身霸气;1;奔驰的外观非常大气，个人觉得还是非常好看。
奔驰GLE新能源;外观;外观设计漂亮;1;奔驰的外观非常大气，个人觉得还是非常好看。
奔驰GLE新能源;内饰;氛围灯好看;1;内饰还是很不错，氛围灯挺骚气，比之前的宝马好看。
奔驰GLE新能源;内饰;内饰不好;0;但是之前是宝马，车子肯定是好，但是还是觉得内饰没有奔驰好看。
奔驰GLE新能源;性价比;性价比不错;1;所以性价比还是很高，而且没有购置税省了不少，市内家用非常不错。
奔驰GLE新能源;性价比;性价比不错;1;，其他的确实不错，还是值得推荐，顺便和大家分享一下，买这个车之前也看过平行进口，车价会低一些，但是没有底盘升降，而且人机互动系统是英文，虽然这个用处不大，但是有这个功能不用还是觉得比较奇怪。
奔驰GLE新能源;性价比;没有加价;1;紧接着11月推出了油电混，12月去4S店问了一次，都没有车，就留了电话，1月突然打电话说有一辆现车，因为是第一辆，所以没有加价，马上果断提车，没有加价，还送了两次保养和车膜，可能4S店也想新车第一辆，
